product_handle	sku	thumbnail_file	image_files
cbd-gummies-broad-spectrum-melatonin	gum-bs-cbd-50-30ct-mel	cbd-gummies/products/gum-bs-cbd-50-30ct-mel/full/GUMMY_50MG_BSOPM_30CT_FRONT_FULL_2048x2048.webp	cbd-gummies/products/gum-bs-cbd-50-30ct-mel/full/GUMMY_50MG_BSOPM_30CT_FRONT_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-50-30ct-mel/full/GUMMY_50MG_BSOPM_30CT_BACK_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-50-30ct-mel/full/GUMMY_NUTE_LABEL_50mgBSOPMGummies_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-50-30ct-mel/full/GUMMY_INFO_GRAPHICS_2_50mg_PM_Gummies_FULL_2048x2048.webp
cbd-gummies-broad-spectrum-melatonin	gum-bs-cbd-50-100ct-mel	cbd-gummies/products/gum-bs-cbd-50-100ct-mel/full/GUMMY_50MG_BSOPM_100CT_FRONT_FULL_2048x2048.webp	cbd-gummies/products/gum-bs-cbd-50-100ct-mel/full/GUMMY_50MG_BSOPM_100CT_FRONT_FULL_2048x2048.webp,cbd-gummies/products/gum-bs-cbd-50-100ct-mel/full/GUMMY_50MG_BSOPM_100CT_BACK_FULL_2048x2048.webp
cbg-gummies	gum-bs-cbg-25-4ct	cbg-gummies/products/gum-bs-cbg-25-4ct/full/GUMMY_25MG_BSO_CBG_4CT_FRONT_FULL_2048x2048.webp	cbg-gummies/products/gum-bs-cbg-25-4ct/full/GUMMY_25MG_BSO_CBG_4CT_FRONT_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-4ct/full/GUMMY_25MG_BSO_CBG_4CT_BACK_FULL_2048x2048.webp
cbg-gummies	gum-bs-cbg-25-30ct	cbg-gummies/products/gum-bs-cbg-25-30ct/full/GUMMY_25MG_BSO_CBG_30CT_FRONT_FULL_2048x2048.webp	cbg-gummies/products/gum-bs-cbg-25-30ct/full/GUMMY_25MG_BSO_CBG_30CT_FRONT_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-30ct/full/GUMMY_NUTE_LABEL_25mgCBGGummies_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-30ct/full/GUMMY_25MG_BSO_CBG_30CT_BACK_THUMB_2048x2048.webp
cbg-gummies	gum-bs-cbg-25-100ct	cbg-gummies/products/gum-bs-cbg-25-100ct/full/GUMMY_25MG_CBG_100CT_FRONT_FULL_2048x2048.webp	cbg-gummies/products/gum-bs-cbg-25-100ct/full/GUMMY_25MG_CBG_100CT_FRONT_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-100ct/full/GUMMY_25MG_CBG_100CT_BACK_THUMB_2048x2048.webp
cbg-gummies-b12	gum-bs-cbg-25-4ct-b12	cbg-gummies/products/gum-bs-cbg-25-4ct-b12/full/GUMMY_25MG_BSO_CBGB12_4CT_FRONT_FULL_2048x2048.webp	cbg-gummies/products/gum-bs-cbg-25-4ct-b12/full/GUMMY_25MG_BSO_CBGB12_4CT_FRONT_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-4ct-b12/full/GUMMY_25MG_BSO_CBGB12_4CT_BACK_FULL_2048x2048.webp
cbg-gummies-b12	gum-bs-cbg-25-30ct-b12	cbg-gummies/products/gum-bs-cbg-25-30ct-b12/full/GUMMY_25MG_CBGB12_30CT_FRONT_FULL_2048x2048.webp	cbg-gummies/products/gum-bs-cbg-25-30ct-b12/full/GUMMY_25MG_CBGB12_30CT_FRONT_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-30ct-b12/full/GUMMY_25MG_CBGB12_30CT_BACK_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-30ct-b12/full/GUMMY_CBGB12_GYM_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-30ct-b12/full/GUMMY_CBGB12_LAPTOP_POUR_FULL_2048x2048.png
cbg-gummies-b12	gum-bs-cbg-25-100ct-b12	cbg-gummies/products/gum-bs-cbg-25-100ct-b12/full/GUMMY_25MG_CBGB12_100CT_FRONT_FULL_2048x2048.webp	cbg-gummies/products/gum-bs-cbg-25-100ct-b12/full/GUMMY_25MG_CBGB12_100CT_FRONT_FULL_2048x2048.webp,cbg-gummies/products/gum-bs-cbg-25-100ct-b12/full/GUMMY_25MG_CBGB12_100CT_BACK_FULL_2048x2048.webp
cbd-isolate-salve	sal-iso-cbd-500-1oz	cbd-topicals/products/sal-iso-cbd-500-1oz/full/PROLEVE_WEB_LABELS_500mg_THC_Free_ISO_salve_2048x2048.webp	cbd-topicals/products/sal-iso-cbd-500-1oz/full/PROLEVE_WEB_LABELS_500mg_THC_Free_ISO_salve_2048x2048.webp,cbd-topicals/products/sal-iso-cbd-500-1oz/full/CBDSalve500mg1oz_32ae383c-4573-4f3a-87da-f9a7e14de259_2048x2048.webp
cbd-isolate-salve	sal-iso-cbd-100-5g	cbd-topicals/products/sal-iso-cbd-100-5g/full/100mgCBDIsolateSalve_2048x2048.webp	cbd-topicals/products/sal-iso-cbd-100-5g/full/100mgCBDIsolateSalve_2048x2048.webp
cbd-isolate-lotion	lot-iso-cbd-500-6oz	cbd-topicals/products/lot-iso-cbd-500-6oz/full/PROLEVE_WEB_LABELS_500mg_THC_Free_ISO_Hand_Body_Lotion_2048x2048.webp	cbd-topicals/products/lot-iso-cbd-500-6oz/full/PROLEVE_WEB_LABELS_500mg_THC_Free_ISO_Hand_Body_Lotion_2048x2048.webp,cbd-topicals/products/lot-iso-cbd-500-6oz/full/HandBodyLotion1_2048x2048.webp
cbd-full-spectrum-salve	sal-fs-cbd-500-1oz	cbd-topicals/products/sal-fs-cbd-500-1oz/full/PROLEVE_WEB_LABELS_500mg_FSO_Salve_2048x2048.webp	cbd-topicals/products/sal-fs-cbd-500-1oz/full/PROLEVE_WEB_LABELS_500mg_FSO_Salve_2048x2048.webp,cbd-topicals/products/sal-fs-cbd-500-1oz/full/CBDFSOSalve500mg1oz_d7befeba-4279-4c0e-b2c3-0f7c791a7b52_2048x2048.webp
cbd-full-spectrum-salve	sal-fs-cbd-100-5g	cbd-topicals/products/sal-fs-cbd-100-5g/full/100mgCBDFullSpectrumSalve_2048x2048.webp	cbd-topicals/products/sal-fs-cbd-100-5g/full/100mgCBDFullSpectrumSalve_2048x2048.webp
cbd-cooling-roll-on-bso	rol-bs-cbd-2000-cool	cbd-topicals/products/rol-bs-cbd-2000-cool/full/PROLEVE_WEB_LABELS_2000mg_BSO_Cooling_Roll_On_2048x2048.webp	cbd-topicals/products/rol-bs-cbd-2000-cool/full/PROLEVE_WEB_LABELS_2000mg_BSO_Cooling_Roll_On_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool/full/PROLEVE-ROLLON-INFO-GRAPHICS_cooling-checks_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool/full/CBDBSOCoolingRollon2000mg3oz1_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool/full/COOLING-ROLL-ON-D_2048x2048.webp
cbd-cooling-roll-on-bso	rol-bs-cbd-2000-cool-6ct	cbd-topicals/products/rol-bs-cbd-2000-cool-6ct/full/PROLEVE_WEB_LABELS_2000mg_BSO_Cooling_Roll_On_2048x2048.webp	cbd-topicals/products/rol-bs-cbd-2000-cool-6ct/full/PROLEVE_WEB_LABELS_2000mg_BSO_Cooling_Roll_On_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool-6ct/full/PROLEVE-ROLLON-INFO-GRAPHICS_cooling-checks_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool-6ct/full/CBDBSOCoolingRollon2000mg3oz1_2048x2048.webp,cbd-topicals/products/rol-bs-cbd-2000-cool-6ct/full/COOLING-ROLL-ON-D_2048x2048.webp
